Player, Team, Pos, Salary, GP, MIN, REB, AST, STL, BLK, TO, PTS, USG, FPTS
Ty Lawson, IND, PG, 3500.00, 3, 59, 10, 13, 3, 1, 2, 9, 17.06, 15.5 
J.R. Smith, CLE, SG, 4500.00, 4, 122, 12, 10, 4, 0, 3, 68, 18.09, 25.6 
Jeremy Lin, CHA, SG, 4200.00, 3, 90, 11, 14, 2, 1, 9, 44, 21.63, 25.07 
Brandon Jennings, ORL, PG, 4100.00, 3, 51, 5, 14, 4, 1, 5, 10, 18.09, 14.0 
Avery Bradley, BOS, SG, 5800.00, 2, 69, 7, 6, 4, 1, 1, 35, 21.67, 30.7 
Mo Williams, CLE, PG, 3500.00, 3, 31, 3, 3, 2, 0, 3, 11, 19.34, 6.7 
Ramon Sessions, WAS, PG, 3700.00, 3, 46, 5, 6, 0, 0, 5, 24, 23.53, 11.33 
George Hill, IND, PG, 4700.00, 3, 80, 12, 3, 2, 1, 3, 30, 17.32, 17.3 
Arron Afflalo, NYK, SG, 4100.00, 3, 91, 14, 4, 2, 1, 6, 23, 16.88, 15.27 
Randy Foye, OKC, SG, 3500.00, 3, 56, 1, 6, 2, 2, 3, 14, 12.13, 9.73 
Wayne Ellington, BKN, SG, 3500.00, 3, 70, 9, 5, 3, 1, 2, 18, 20.05, 14.1 
C.J. Watson, ORL, PG, 3500.00, 2, 14, 1, 0, 0, 0, 0, 0, 8.57, 0.6 
Gerald Henderson, POR, SG, 3800.00, 4, 105, 12, 9, 4, 0, 4, 55, 21.17, 21.73 
Marcus Thornton, WAS, SG, 3500.00, 1, 4, 0, 0, 0, 0, 0, 3, 20.00, 3.0 
Courtney Lee, CHA, SG, 4300.00, 3, 109, 8, 7, 6, 2, 2, 26, 13.60, 20.03 
Steve Blake, DET, PG, 3500.00, 3, 43, 6, 12, 1, 0, 0, 14, 11.94, 13.73 
J.J. Redick, LAC, SG, 4600.00, 3, 78, 9, 5, 1, 0, 1, 44, 19.47, 21.1 
James Harden, HOU, SG, 10900.00, 2, 84, 8, 17, 3, 3, 9, 65, 33.00, 51.55 
Toney Douglas, NOP, PG, 5600.00, 4, 125, 16, 20, 3, 0, 7, 41, 17.25, 22.3 
Louis Williams, LAL, SG, 4600.00, 1, 16, 1, 0, 1, 0, 1, 11, 27.70, 13.2 
Rodney Stuckey, IND, SG, 3800.00, 3, 55, 5, 7, 1, 0, 4, 34, 19.43, 16.17 
Jason Terry, HOU, PG, 3500.00, 2, 26, 0, 3, 2, 0, 1, 6, 13.83, 6.75 
Jose Calderon, NYK, PG, 4100.00, 1, 9, 2, 1, 0, 0, 2, 2, 19.24, 3.9 
Jamal Crawford, LAC, SG, 4900.00, 4, 99, 7, 15, 5, 1, 8, 65, 25.32, 24.98 
Devin Harris, DAL, SG, 3900.00, 3, 84, 4, 7, 2, 0, 4, 35, 18.55, 16.77 
Raymond Felton, DAL, PG, 4700.00, 2, 52, 6, 5, 0, 1, 6, 13, 19.55, 11.85 
Kobe Bryant, LAL, SG, 5400.00, 3, 63, 8, 1, 5, 0, 3, 42, 35.31, 20.03 
Russell Westbrook, OKC, PG, 10700.00, 3, 98, 35, 32, 8, 0, 18, 62, 32.21, 50.0 
John Wall, WAS, PG, 9400.00, 3, 112, 17, 36, 4, 1, 14, 51, 28.51, 40.47 
Chris Paul, LAC, PG, 9700.00, 3, 85, 15, 36, 4, 1, 4, 72, 34.05, 50.0 
Monta Ellis, IND, SG, 6100.00, 3, 82, 11, 9, 1, 1, 7, 32, 21.76, 18.57 
Carmelo Anthony, NYK, SF, 8500.00, 2, 57, 13, 6, 4, 0, 6, 44, 33.73, 35.3 
Jonas Jerebko, BOS, PF, 3500.00, 3, 50, 14, 1, 1, 1, 0, 16, 12.87, 12.77 
James Jones, CLE, SF, 3500.00, 2, 14, 1, 0, 1, 0, 0, 11, 20.00, 7.1 
Richard Jefferson, CLE, SF, 3500.00, 2, 31, 1, 2, 0, 1, 0, 5, 9.88, 5.6 
Luke Babbitt, NOP, SF, 5000.00, 4, 119, 21, 12, 2, 2, 7, 69, 26.04, 28.3 
LeBron James, CLE, SF, 10600.00, 4, 142, 33, 41, 7, 3, 18, 101, 30.52, 51.02 
Paul George, IND, SF, 8900.00, 3, 94, 25, 11, 7, 1, 8, 67, 30.69, 40.5 
Lou Amundson, NYK, PF, 3500.00, 1, 1, 0, 0, 1, 0, 0, 0, 0.00, 2.0 
Dante Cunningham, NOP, PF, 3900.00, 4, 136, 18, 9, 3, 1, 8, 48, 14.65, 20.77 
Anthony Tolliver, DET, PF, 3500.00, 3, 37, 3, 1, 1, 0, 1, 8, 11.17, 4.7 
Ed Davis, POR, PF, 4600.00, 4, 79, 30, 5, 5, 6, 4, 14, 9.95, 18.88 
Jordan Hill, IND, C, 3500.00, 1, 11, 3, 0, 0, 0, 1, 6, 17.75, 8.6 
Corey Brewer, HOU, SF, 3500.00, 2, 30, 7, 0, 0, 1, 1, 6, 24.00, 7.7 
Al-Farouq Aminu, POR, SF, 5400.00, 4, 118, 30, 8, 5, 5, 7, 52, 17.15, 28.25 
Wesley Johnson, LAC, SF, 3700.00, 4, 109, 16, 3, 5, 6, 3, 29, 13.37, 17.93 
Amir Johnson, BOS, PF, 4600.00, 3, 79, 31, 7, 2, 2, 7, 29, 16.78, 25.9 
Evan Turner, BOS, SF, 6100.00, 3, 101, 10, 13, 7, 2, 9, 52, 20.77, 30.83 
Serge Ibaka, OKC, PF, 5500.00, 3, 85, 22, 5, 0, 1, 2, 42, 18.49, 25.3 
C.J. Miles, IND, SF, 3800.00, 3, 57, 8, 2, 3, 1, 2, 44, 24.24, 20.87 
Anthony Morrow, OKC, SG, 3500.00, 3, 31, 0, 2, 0, 0, 0, 14, 16.75, 5.67 
Charlie Villanueva, DAL, PF, 3500.00, 1, 5, 2, 1, 1, 0, 0, 0, 26.64, 5.9 
Jeff Green, LAC, SF, 4200.00, 4, 108, 9, 3, 2, 4, 5, 54, 20.50, 19.07 
Nicolas Batum, CHA, SF, 7600.00, 2, 53, 4, 12, 0, 0, 3, 24, 23.61, 21.9 
Marvin Williams, CHA, PF, 5600.00, 3, 98, 17, 5, 3, 2, 4, 44, 16.22, 25.97 
Jared Dudley, WAS, PF, 3500.00, 3, 39, 6, 5, 3, 1, 2, 7, 12.85, 9.23 
Trevor Ariza, HOU, SF, 5600.00, 2, 78, 11, 4, 2, 0, 0, 32, 14.95, 27.6 
Michael Beasley, HOU, SF, 5300.00, 2, 39, 15, 3, 0, 0, 2, 26, 32.32, 23.25 
Wesley Matthews, DAL, SG, 5100.00, 3, 115, 10, 6, 5, 0, 4, 52, 17.48, 26.33 
Dirk Nowitzki, DAL, PF, 7100.00, 3, 102, 13, 6, 2, 0, 3, 43, 26.13, 22.87 
Kevin Love, CLE, PF, 7000.00, 4, 114, 34, 13, 2, 2, 11, 76, 24.45, 33.33 
Kevin Durant, OKC, SF, 10500.00, 3, 106, 21, 15, 6, 2, 12, 90, 32.93, 47.23 
Ian Mahinmi, IND, C, 5200.00, 3, 86, 27, 7, 3, 3, 9, 25, 14.69, 23.63 
Joel Anthony, DET, C, 3500.00, 1, 3, 1, 0, 0, 0, 0, 0, 0.00, 1.2 
J.J. Hickson, WAS, PF, 3500.00, 1, 1, 0, 0, 0, 0, 0, 0, 40.00, 0.0 
Kendrick Perkins, NOP, C, 3500.00, 4, 62, 13, 5, 1, 1, 6, 21, 13.89, 10.53 
Cole Aldrich, LAC, C, 3500.00, 4, 69, 23, 3, 7, 3, 8, 22, 13.26, 16.52 
Chris Kaman, POR, C, 3500.00, 2, 6, 2, 1, 0, 0, 1, 2, 15.53, 2.45 
Kevin Seraphin, NYK, PF, 3600.00, 3, 58, 16, 1, 1, 3, 4, 24, 18.77, 16.23 
Timofey Mozgov, CLE, C, 3500.00, 4, 63, 19, 3, 0, 5, 3, 18, 12.18, 13.07 
Zaza Pachulia, DAL, C, 3600.00, 3, 63, 29, 4, 2, 0, 5, 14, 10.69, 17.93 
Omer Asik, NOP, C, 3500.00, 3, 44, 13, 1, 0, 0, 2, 2, 6.55, 5.7 
Nick Collison, OKC, PF, 3500.00, 1, 6, 6, 1, 0, 1, 1, 0, 15.53, 9.7 
Robin Lopez, NYK, C, 5900.00, 3, 93, 28, 7, 0, 10, 6, 24, 15.14, 27.37 
Jason Smith, ORL, PF, 3700.00, 3, 26, 7, 5, 0, 0, 0, 14, 19.46, 9.97 
Spencer Hawes, CHA, C, 3800.00, 2, 27, 11, 3, 1, 1, 2, 11, 22.03, 15.35 
Brandon Bass, LAL, PF, 3800.00, 1, 26, 3, 0, 0, 0, 0, 8, 12.80, 11.6 
Marcin Gortat, WAS, C, 6400.00, 3, 86, 30, 1, 3, 3, 3, 38, 18.22, 28.17 
Channing Frye, CLE, PF, 3500.00, 4, 73, 22, 4, 1, 1, 5, 32, 22.58, 15.85 
DeAndre Jordan, LAC, C, 8300.00, 3, 92, 34, 4, 2, 6, 3, 30, 14.02, 29.93 
Roy Hibbert, LAL, C, 4000.00, 3, 75, 18, 5, 2, 6, 3, 16, 11.95, 19.37 
Al Jefferson, CHA, C, 5000.00, 2, 41, 18, 4, 1, 2, 0, 18, 20.88, 25.8 
David Lee, DAL, PF, 4200.00, 3, 42, 17, 5, 0, 2, 4, 16, 18.60, 14.63 
Dwight Howard, HOU, C, 6500.00, 2, 48, 21, 2, 2, 3, 2, 11, 11.28, 23.6 
Blake Griffin, LAC, PF, 8600.00, 2, 40, 8, 7, 1, 0, 5, 10, 21.07, 13.55 
Nikola Vucevic, ORL, C, 8000.00, 3, 78, 20, 7, 3, 4, 5, 71, 30.33, 38.17 
Donatas Motiejunas, HOU, PF, 3500.00, 2, 30, 5, 3, 1, 0, 0, 4, 17.32, 8.25 
Enes Kanter, OKC, C, 5300.00, 3, 55, 21, 1, 1, 1, 4, 45, 26.65, 23.9 
Derrick Williams, NYK, PF, 3700.00, 3, 84, 15, 5, 0, 0, 5, 43, 19.07, 21.17 
Tristan Thompson, CLE, PF, 4600.00, 4, 101, 33, 2, 5, 5, 2, 28, 9.66, 22.15 
Jordan Hamilton, NOP, SF, 4600.00, 4, 122, 31, 11, 4, 1, 8, 49, 20.23, 26.18 
Markieff Morris, WAS, PF, 5500.00, 3, 102, 21, 6, 2, 6, 3, 52, 19.80, 33.07 
Marcus Morris, DET, SF, 6200.00, 3, 106, 20, 8, 4, 3, 6, 48, 17.96, 30.67 
Kyle Singler, OKC, SF, 3500.00, 3, 46, 6, 1, 1, 0, 1, 12, 13.12, 7.23 
Lavoy Allen, IND, PF, 3500.00, 3, 49, 16, 3, 2, 0, 2, 14, 16.12, 13.23 
Tobias Harris, DET, PF, 6400.00, 3, 107, 19, 6, 3, 3, 4, 56, 18.67, 31.93 
Kyrie Irving, CLE, PG, 7200.00, 3, 91, 11, 16, 3, 3, 5, 45, 27.64, 29.73 
Kemba Walker, CHA, PG, 8100.00, 3, 111, 19, 15, 6, 2, 7, 67, 27.05, 40.43 
Isaiah Thomas, BOS, PG, 7700.00, 3, 95, 8, 13, 2, 0, 10, 70, 34.85, 31.03 
Andrew Goudelock, HOU, PG, 3500.00, 1, 8, 1, 1, 2, 0, 2, 2, 26.65, 6.7 
Iman Shumpert, CLE, SG, 3700.00, 4, 93, 18, 6, 4, 0, 5, 27, 13.36, 15.15 
Reggie Jackson, DET, PG, 5900.00, 3, 94, 11, 17, 3, 1, 12, 54, 32.89, 29.57 
Donald Sloan, BKN, PG, 3600.00, 2, 33, 1, 8, 1, 0, 1, 13, 18.81, 13.6 
Dion Waiters, OKC, SG, 3500.00, 3, 63, 5, 9, 4, 0, 1, 28, 15.90, 18.17 
Bradley Beal, WAS, SG, 5800.00, 3, 107, 12, 13, 4, 0, 7, 53, 25.42, 29.3 
Thomas Robinson, BKN, PF, 6000.00, 3, 75, 39, 4, 6, 0, 5, 35, 23.42, 31.6 
Damian Lillard, POR, PG, 8000.00, 4, 135, 8, 20, 1, 2, 10, 92, 32.00, 31.9 
Austin Rivers, LAC, PG, 3900.00, 4, 88, 11, 10, 5, 0, 3, 60, 24.46, 23.8 
Andre Drummond, DET, C, 8000.00, 3, 91, 41, 5, 3, 0, 2, 35, 21.58, 31.9 
Tyler Zeller, BOS, C, 3500.00, 1, 17, 4, 2, 0, 0, 1, 6, 15.67, 12.8 
Evan Fournier, ORL, SF, 5400.00, 3, 107, 5, 6, 4, 0, 10, 61, 22.20, 24.67 
Andrew Nicholson, ORL, PF, 4300.00, 3, 60, 15, 4, 2, 2, 1, 34, 17.60, 21.67 
Nazr Mohammed, OKC, C, 3500.00, 1, 5, 2, 0, 0, 0, 1, 2, 24.00, 3.4 
Robert Sacre, LAL, C, 3500.00, 1, 8, 3, 0, 0, 0, 0, 5, 13.80, 8.6 
Kyle O'Quinn, NYK, C, 3500.00, 3, 47, 14, 3, 1, 1, 2, 23, 18.24, 15.43 
Jae Crowder, BOS, SF, 6200.00, 2, 64, 15, 6, 7, 0, 3, 35, 24.54, 36.5 
Jeremy Lamb, CHA, SG, 3500.00, 3, 35, 8, 1, 0, 0, 1, 12, 20.31, 7.37 
Brian Roberts, POR, PG, 3500.00, 2, 8, 0, 1, 0, 0, 1, 2, 11.65, 1.25 
Metta World Peace, LAL, SF, 3500.00, 1, 19, 5, 1, 2, 1, 1, 17, 29.41, 29.5 
Pablo Prigioni, LAC, PG, 3500.00, 3, 44, 5, 10, 2, 0, 1, 2, 11.18, 8.67 
Luc Richard Mbah a Moute, LAC, SF, 3500.00, 4, 77, 14, 3, 1, 0, 0, 24, 8.35, 11.82 
Garrett Temple, WAS, SG, 3500.00, 3, 57, 8, 5, 3, 0, 2, 18, 13.85, 13.03 
Jared Sullinger, BOS, PF, 5600.00, 3, 64, 24, 8, 2, 0, 2, 36, 23.23, 26.27 
Patrick Beverley, HOU, PG, 5200.00, 2, 63, 7, 9, 0, 0, 0, 34, 18.67, 27.95 
Aron Baynes, DET, C, 3500.00, 3, 46, 14, 0, 1, 0, 2, 12, 11.10, 9.6 
Henry Sims, BKN, C, 4000.00, 3, 65, 16, 2, 3, 1, 2, 23, 15.89, 17.07 
Mason Plumlee, POR, C, 5300.00, 4, 97, 27, 18, 3, 5, 6, 48, 20.25, 29.35 
Victor Oladipo, ORL, SG, 8400.00, 3, 110, 17, 14, 10, 6, 5, 58, 23.12, 42.13 
Cody Zeller, CHA, C, 4800.00, 3, 73, 21, 3, 8, 3, 0, 25, 11.79, 25.57 
Matthew Dellavedova, CLE, PG, 3600.00, 4, 75, 7, 19, 1, 2, 7, 14, 17.62, 12.47 
Kelly Olynyk, BOS, C, 3500.00, 3, 47, 3, 3, 1, 1, 2, 19, 19.36, 9.7 
Steven Adams, OKC, C, 4600.00, 3, 81, 18, 4, 1, 3, 4, 24, 13.81, 18.53 
Andre Roberson, OKC, SG, 3500.00, 3, 66, 14, 2, 1, 0, 2, 14, 8.81, 11.27 
Solomon Hill, IND, SG, 3500.00, 3, 48, 9, 2, 2, 0, 3, 12, 12.58, 8.93 
Kentavious Caldwell-Pope, DET, SG, 5400.00, 3, 110, 8, 1, 0, 0, 3, 30, 12.06, 12.7 
Sergey Karasev, BKN, SF, 3500.00, 1, 19, 5, 6, 0, 0, 2, 2, 18.91, 15.0 
Dewayne Dedmon, ORL, C, 3700.00, 3, 37, 13, 1, 0, 0, 2, 20, 16.05, 11.7 
Willie Reed, BKN, PF, 3800.00, 2, 23, 12, 0, 0, 2, 0, 5, 13.70, 11.7 
Reggie Bullock, DET, SF, 3500.00, 1, 3, 0, 0, 0, 0, 0, 2, 13.33, 2.0 
Moe Harkless, POR, SF, 4400.00, 4, 115, 40, 4, 5, 2, 3, 58, 18.91, 30.75 
Allen Crabbe, POR, SG, 3500.00, 4, 101, 10, 4, 3, 2, 2, 28, 13.23, 13.5 
Shane Larkin, BKN, PG, 4500.00, 3, 95, 13, 22, 6, 0, 8, 24, 17.64, 25.53 
Otto Porter, WAS, SF, 5400.00, 3, 92, 16, 7, 1, 0, 3, 45, 15.68, 24.57 
Alexis Ajinca, NOP, C, 4300.00, 4, 100, 33, 1, 4, 5, 12, 54, 24.61, 25.27 
C.J. McCollum, POR, SG, 6900.00, 4, 141, 11, 20, 10, 1, 16, 89, 26.95, 34.55 
Nene Hilario, WAS, PF, 3900.00, 3, 57, 22, 4, 0, 1, 6, 31, 22.12, 19.8 
Sasha Vujacic, NYK, SG, 3700.00, 3, 72, 13, 5, 3, 1, 5, 33, 16.96, 19.7 
Dwight Powell, DAL, PF, 3500.00, 3, 20, 4, 1, 0, 0, 1, 2, 16.66, 2.43 
Marcus Smart, BOS, PG, 4300.00, 3, 82, 14, 16, 3, 1, 6, 20, 15.63, 20.93 
Markel Brown, BKN, SG, 3800.00, 3, 70, 10, 6, 4, 1, 6, 34, 23.85, 19.67 
Bojan Bogdanovic, BKN, SF, 4500.00, 1, 24, 5, 3, 0, 0, 4, 14, 31.25, 20.5 
Cleanthony Early, NYK, SF, 3500.00, 2, 40, 7, 4, 0, 1, 4, 9, 22.20, 10.7 
K.J. McDaniels, HOU, SF, 3500.00, 1, 17, 4, 1, 0, 0, 0, 10, 18.00, 16.3 
Spencer Dinwiddie, DET, PG, 3500.00, 1, 3, 1, 1, 1, 0, 2, 0, 57.73, 2.7 
Noah Vonleh, POR, PF, 3500.00, 4, 29, 10, 0, 2, 2, 2, 12, 12.08, 7.5 
James Ennis, NOP, SF, 3900.00, 4, 111, 15, 11, 4, 2, 6, 49, 19.38, 22.38 
Aaron Gordon, ORL, PF, 5700.00, 3, 78, 21, 6, 3, 2, 3, 34, 19.74, 25.07 
Elfrid Payton, ORL, PG, 5800.00, 3, 90, 15, 26, 1, 0, 6, 23, 19.07, 25.33 
Devyn Marble, ORL, SG, 3500.00, 1, 2, 0, 0, 0, 0, 0, 0, 0.00, 0.0 
J.J. Barea, DAL, PG, 5900.00, 3, 98, 11, 16, 1, 0, 6, 76, 30.35, 36.4 
