Player, Team, Pos, Salary, GP, MIN, REB, AST, STL, BLK, TO, PTS, USG, FPTS
Ty Lawson, IND, PG, 3500.00, 8, 132, 19, 27, 9, 1, 6, 38, 17.82, 14.41 
Alonzo Gee, NOP, SF, 3700.00, 7, 206, 31, 8, 5, 2, 15, 62, 13.55, 15.74 
J.R. Smith, CLE, SG, 4500.00, 11, 323, 27, 27, 11, 1, 10, 131, 15.69, 19.81 
Jeremy Lin, CHA, SG, 4200.00, 9, 239, 33, 28, 10, 2, 25, 129, 23.22, 23.29 
Brandon Jennings, ORL, PG, 4100.00, 10, 185, 20, 45, 9, 2, 12, 55, 19.18, 15.65 
Avery Bradley, BOS, SG, 5800.00, 8, 274, 35, 20, 16, 4, 9, 129, 19.89, 29.0 
Mo Williams, CLE, PG, 3500.00, 5, 49, 5, 5, 3, 0, 3, 25, 19.31, 8.3 
Ramon Sessions, WAS, PG, 3700.00, 10, 142, 21, 20, 3, 0, 13, 58, 22.72, 10.62 
George Hill, IND, PG, 4700.00, 10, 308, 34, 35, 7, 3, 12, 112, 14.55, 21.33 
Arron Afflalo, NYK, SG, 4100.00, 10, 307, 41, 20, 3, 1, 17, 87, 16.48, 15.72 
Randy Foye, OKC, SG, 3500.00, 10, 213, 12, 20, 7, 6, 9, 52, 13.58, 11.34 
Wayne Ellington, BKN, SG, 3500.00, 6, 135, 17, 9, 4, 1, 3, 33, 16.38, 12.32 
C.J. Watson, ORL, PG, 3500.00, 6, 96, 11, 11, 2, 0, 1, 16, 9.75, 8.12 
Gerald Henderson, POR, SG, 3800.00, 11, 268, 39, 11, 10, 2, 17, 133, 20.71, 18.48 
Marcus Thornton, WAS, SG, 3500.00, 6, 80, 13, 7, 7, 0, 5, 51, 28.64, 14.35 
Courtney Lee, CHA, SG, 4300.00, 10, 331, 33, 25, 17, 6, 9, 105, 13.79, 21.91 
Steve Blake, DET, PG, 3500.00, 10, 170, 18, 47, 4, 1, 6, 22, 12.64, 11.81 
J.J. Redick, LAC, SG, 4600.00, 9, 228, 25, 11, 6, 2, 7, 118, 19.60, 19.28 
James Harden, HOU, SG, 10900.00, 9, 367, 58, 94, 22, 5, 47, 262, 31.84, 53.29 
Toney Douglas, NOP, PG, 5600.00, 11, 317, 47, 46, 12, 1, 18, 133, 21.01, 24.22 
Louis Williams, LAL, SG, 4600.00, 7, 157, 10, 14, 5, 1, 10, 106, 24.57, 20.14 
Rodney Stuckey, IND, SG, 3800.00, 10, 169, 11, 21, 6, 0, 11, 77, 20.94, 12.27 
Jason Terry, HOU, PG, 3500.00, 9, 138, 7, 11, 4, 0, 5, 27, 13.23, 6.1 
Jose Calderon, NYK, PG, 4100.00, 8, 200, 28, 36, 7, 0, 8, 55, 13.70, 18.57 
Jamal Crawford, LAC, SG, 4900.00, 10, 273, 19, 31, 11, 2, 18, 152, 23.28, 22.93 
Devin Harris, DAL, SG, 3900.00, 8, 194, 19, 16, 10, 2, 8, 82, 17.15, 18.1 
Raymond Felton, DAL, PG, 4700.00, 8, 227, 25, 27, 5, 4, 12, 82, 18.32, 19.81 
Deron Williams, DAL, PG, 6100.00, 3, 109, 10, 34, 4, 0, 10, 54, 26.61, 38.33 
Kobe Bryant, LAL, SG, 5400.00, 8, 197, 18, 8, 8, 2, 11, 129, 31.03, 21.45 
Russell Westbrook, OKC, PG, 10700.00, 10, 330, 102, 106, 17, 2, 44, 211, 34.08, 48.64 
John Wall, WAS, PG, 9400.00, 10, 373, 51, 124, 15, 7, 48, 183, 29.85, 42.62 
Chris Paul, LAC, PG, 9700.00, 9, 267, 45, 93, 14, 2, 21, 186, 31.62, 43.39 
Monta Ellis, IND, SG, 6100.00, 10, 326, 42, 49, 19, 4, 22, 107, 19.27, 25.49 
Carmelo Anthony, NYK, SF, 8500.00, 8, 272, 50, 33, 8, 0, 21, 182, 29.25, 35.81 
Jonas Jerebko, BOS, PF, 3500.00, 7, 114, 31, 3, 3, 4, 3, 32, 12.42, 12.1 
James Jones, CLE, SF, 3500.00, 5, 40, 4, 0, 2, 1, 0, 34, 20.20, 8.96 
Richard Jefferson, CLE, SF, 3500.00, 8, 125, 12, 6, 5, 1, 4, 47, 13.54, 9.8 
Luke Babbitt, NOP, SF, 5000.00, 11, 277, 46, 21, 5, 2, 13, 142, 21.12, 20.88 
LeBron James, CLE, SF, 10600.00, 10, 342, 77, 86, 13, 7, 36, 261, 31.63, 48.64 
Paul George, IND, SF, 8900.00, 10, 336, 75, 31, 22, 5, 24, 232, 29.56, 39.85 
Lou Amundson, NYK, PF, 3500.00, 4, 24, 5, 3, 1, 3, 2, 2, 14.78, 4.63 
Dante Cunningham, NOP, PF, 3900.00, 11, 367, 42, 19, 8, 2, 9, 108, 12.80, 17.99 
Anthony Tolliver, DET, PF, 3500.00, 9, 125, 23, 6, 1, 2, 4, 49, 16.10, 9.73 
Ed Davis, POR, PF, 4600.00, 11, 226, 95, 14, 15, 16, 10, 77, 13.28, 24.0 
Jordan Hill, IND, C, 3500.00, 8, 122, 31, 5, 3, 5, 7, 51, 18.23, 13.09 
Corey Brewer, HOU, SF, 3500.00, 9, 140, 21, 2, 4, 5, 4, 42, 17.54, 9.36 
Al-Farouq Aminu, POR, SF, 5400.00, 11, 320, 78, 23, 10, 9, 13, 129, 16.64, 25.65 
