Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Stephen Curry, GSW, 24.13%, 10.91%, 21.22%, 23.57%, 3.05%, 63.00%, 66.90%, 32.60%, 124.7, 102.8, 9.60, 31.3, 
James Harden, HOU, 27.30%, 14.01%, 34.00%, 17.38%, 11.56%, 51.20%, 59.80%, 32.50%, 115, 108.3, 3.99, 25.2, 
Damian Lillard, POR, 22.15%, 8.00%, 29.26%, 12.52%, 7.58%, 49.70%, 56.00%, 31.30%, 113.1, 110.8, 1.75, 22.1, 
Russell Westbrook, OKC, 20.77%, 15.66%, 44.91%, 26.69%, 3.75%, 48.90%, 55.40%, 31.60%, 115.5, 103.2, 4.79, 27.6, 
DeMar DeRozan, TOR, 21.75%, 9.78%, 20.36%, 13.13%, 4.86%, 46.30%, 55.00%, 29.80%, 112.9, 108.2, 0.94, 21.5, 
Isaiah Thomas, BOS, 21.33%, 6.62%, 25.50%, 12.21%, 3.68%, 48.80%, 56.20%, 29.60%, 113, 107.1, 2.43, 21.5, 
Klay Thompson, GSW, 19.31%, 8.29%, 7.47%, 9.40%, 9.54%, 56.90%, 59.70%, 26.30%, 112.2, 107.9, 2.52, 18.5, 
Kemba Walker, CHA, 20.53%, 9.95%, 24.26%, 21.57%, 9.53%, 49.50%, 55.40%, 26.50%, 111.5, 104.7, 2.62, 20.8, 
Jimmy Butler, CHI, 16.79%, 9.46%, 17.18%, 22.22%, 9.15%, 48.50%, 56.30%, 24.40%, 116.2, 105.7, 3.35, 21.5, 
C.J. McCollum, POR, 19.54%, 7.00%, 19.40%, 16.92%, 7.07%, 51.70%, 54.40%, 27.10%, 107.8, 110.2, 0.53, 17.7, 
Andrew Wiggins, MIN, 19.95%, 8.63%, 8.56%, 11.89%, 12.27%, 48.10%, 54.30%, 27.20%, 105.7, 113.4, -0.33, 16.5, 
Kyle Lowry, TOR, 19.25%, 10.36%, 33.52%, 24.33%, 7.19%, 51.60%, 57.80%, 26.10%, 115.2, 104.5, 3.18, 22.1, 
Eric Bledsoe, PHO, 7.64%, 3.40%, 11.17%, 9.97%, 6.07%, 50.20%, 55.70%, 27.20%, 107.1, 104.9, 2.38, 20, 
Kyrie Irving, CLE, 12.83%, 4.33%, 13.70%, 10.65%, 5.81%, 49.60%, 54.00%, 29.40%, 109.6, 107.9, 1.28, 19.8, 
Gordon Hayward, UTA, 19.85%, 11.16%, 19.17%, 15.22%, 6.54%, 49.30%, 55.90%, 25.70%, 110.3, 106.2, 0.90, 18.3, 
