Name, Team, Opponent, Position, Money Line, O/U, Proj. Mins, FD Salary, Proj. Points, Value
Damian Lillard, POR, GSW, PG, 439, 213, 39, 8400, 42.92, 5.11, 
Draymond Green, GSW, POR, PF, -520, 213, 36, 9300, 38.83, 4.17, 
Kyle Lowry, TOR, MIA, PG, -172, 191, 38, 7800, 34.86, 4.47, 
Klay Thompson, GSW, POR, SG, -520, 213, 36, 8000, 34.3, 4.29, 
C.J. McCollum, POR, GSW, SG, 439, 213, 39, 7000, 32.38, 4.63, 
DeMar DeRozan, TOR, MIA, SG, -172, 191, 38, 7400, 32.22, 4.35, 
Hassan Whiteside, MIA, TOR, C, 155, 191, 29, 8000, 31.18, 3.9, 
Dwyane Wade, MIA, TOR, SG, 155, 191, 30, 7500, 28.18, 3.76, 
Mason Plumlee, POR, GSW, C, 439, 213, 29, 6300, 28.05, 4.45, 
Maurice Harkless, POR, GSW, SF, 439, 213, 29, 5100, 24.72, 4.85, 
Goran Dragic, MIA, TOR, PG, 155, 191, 31, 6500, 24.5, 3.77, 
Jonas Valanciunas, TOR, MIA, C, -172, 191, 27, 6200, 24.11, 3.89, 
Al-Farouq Aminu, POR, GSW, SF, 439, 213, 31, 5600, 23.37, 4.17, 
Luol Deng, MIA, TOR, PF, 155, 191, 34, 6600, 23.31, 3.53, 
DeMarre Carroll, TOR, MIA, SF, -172, 191, 33, 4400, 22.64, 5.15, 
Shaun Livingston, GSW, POR, PG, -520, 213, 28, 4600, 22.05, 4.79, 
Andrew Bogut, GSW, POR, C, -520, 213, 22, 4500, 22.01, 4.89, 
Harrison Barnes, GSW, POR, SF, -520, 213, 32, 4400, 21.98, 4.99, 
Joe Johnson, MIA, TOR, SF, 155, 191, 34, 4700, 21.81, 4.64, 
Ed Davis, POR, GSW, PF, 439, 213, 19, 3600, 20.22, 5.62, 
Andre Iguodala, GSW, POR, SF, -520, 213, 27, 4400, 19.09, 4.34, 
Allen Crabbe, POR, GSW, SG, 439, 213, 29, 3900, 18.18, 4.66, 
Gerald Henderson, POR, GSW, SG, 439, 213, 21, 3600, 16.48, 4.58, 
Cory Joseph, TOR, MIA, PG, -172, 191, 25, 3700, 16.31, 4.41, 
Bismack Biyombo, TOR, MIA, C, -172, 191, 20, 4100, 16.1, 3.93, 
Norman Powell, TOR, MIA, SG, -172, 191, 22, 3600, 15.96, 4.43, 
Patrick Patterson, TOR, MIA, PF, -172, 191, 26, 3600, 15.59, 4.33, 
Justise Winslow, MIA, TOR, SF, 155, 191, 22, 3500, 12.94, 3.7, 
Marreese Speights, GSW, POR, PF, -520, 213, 10, 3500, 12.09, 3.45, 
Josh Richardson, MIA, TOR, SG, 155, 191, 23, 3900, 11.85, 3.04, 
Leandro Barbosa, GSW, POR, SG, -520, 213, 14, 3500, 10.23, 2.92, 
Josh McRoberts, MIA, TOR, PF, 155, 191, 13, 3500, 9, 2.57, 
Festus Ezeli, GSW, POR, C, -520, 213, 9, 3500, 8.69, 2.48, 
Gerald Green, MIA, TOR, SG, 155, 191, 11, 3600, 7.7, 2.14, 
Ian Clark, GSW, POR, SG, -520, 213, 10, 3500, 7.66, 2.19, 
Terrence Ross, TOR, MIA, SG, -172, 191, 11, 3500, 6.41, 1.83, 
Udonis Haslem, MIA, TOR, PF, 155, 191, 10, 3500, 5.79, 1.65, 
Brandon Rush, GSW, POR, SG, -520, 213, 9, 3500, 5.49, 1.57, 
Anderson Varejao, GSW, POR, C, -520, 213, 5, 3500, 4.35, 1.24, 
Brian Roberts, POR, GSW, PG, 439, 213, 4, 3500, 3.07, 0.88, 
Amar'e Stoudemire, MIA, TOR, PF, 155, 191, 3, 3500, 2.53, 0.72, 
James McAdoo, GSW, POR, PF, -520, 213, 2, 3500, 2.1, 0.6, 
