Team, Vs. Pos, Season, Last 5, Last 10, PTS, REB, AST, STL, BLK, 3PM, FG%, FT%, TO
SAC, C , 46.0, 45.6, 56.6, 22.2, 18.3, 3.7, 1.3, 3.3, 0.0, 45.2, 73.8, 2.3, 
GSW, C , 48.1, 51.2, 51.9, 23.1, 16.6, 4.2, 0.8, 1.7, 0.5, 58.1, 57.5, 2.5, 
CHA, C , 45.3, 44.5, 51.7, 24.4, 15.4, 3.9, 0.4, 2.1, 0.2, 55.0, 65.5, 1.9, 
HOU, C , 46.8, 50.7, 50.2, 23.1, 16.1, 2.6, 1.5, 2.0, 0.3, 53.2, 56.4, 2.9, 
LAL, C , 48.8, 47.3, 50.2, 18.8, 17.9, 3.5, 1.3, 2.0, 0.2, 47.6, 69.0, 2.0, 
PHI, C , 51.5, 49.9, 50.0, 21.5, 18.7, 2.3, 1.3, 1.5, 0.4, 60.3, 69.2, 3.0, 
MEM, C , 42.0, 49.2, 49.7, 21.1, 15.0, 1.4, 1.4, 3.6, 0.2, 65.6, 68.8, 1.4, 
PHO, C , 46.1, 53.1, 49.6, 24.0, 13.4, 2.6, 2.4, 1.6, 0.7, 47.1, 80.6, 2.4, 
WAS, C , 45.2, 49.0, 48.5, 19.5, 13.6, 4.4, 2.8, 1.8, 1.0, 57.4, 50.0, 2.9, 
IND, C , 45.1, 50.9, 48.1, 19.5, 17.6, 3.3, 0.8, 2.3, 0.3, 52.3, 55.3, 3.8, 
CHI, C , 48.2, 45.4, 48.0, 19.4, 16.3, 3.5, 0.8, 2.7, 0.0, 54.3, 56.7, 3.2, 
ATL, C , 48.0, 50.6, 47.0, 20.2, 17.0, 2.5, 1.7, 1.2, 0.0, 52.8, 62.8, 3.0, 
LAC, C , 46.6, 43.9, 46.6, 20.6, 17.1, 2.5, 1.1, 1.3, 0.4, 53.9, 58.3, 2.9, 
MIL, C , 45.7, 45.2, 46.1, 17.6, 15.0, 3.6, 1.1, 2.5, 0.2, 58.1, 83.3, 2.2, 
ORL, C , 45.8, 38.3, 45.8, 21.2, 12.3, 3.6, 1.2, 2.4, 0.0, 58.7, 40.7, 2.8, 
BOS, C , 47.3, 42.3, 45.2, 15.5, 15.5, 4.3, 1.2, 2.5, 0.0, 47.5, 58.6, 2.7, 
DET, C , 46.4, 46.9, 45.0, 17.7, 13.3, 2.7, 1.5, 3.0, 0.6, 48.0, 75.0, 1.9, 
MIN, C , 43.3, 41.4, 44.6, 16.3, 16.5, 2.9, 1.2, 2.9, 0.0, 66.7, 36.4, 3.9, 
DAL, C , 46.9, 49.2, 44.5, 14.0, 17.9, 4.4, 1.7, 1.2, 0.0, 44.7, 46.9, 3.2, 
MIA, C , 43.7, 46.1, 44.1, 21.2, 13.2, 2.6, 1.4, 1.4, 0.2, 53.0, 65.4, 2.4, 
BKN, C , 47.7, 42.3, 43.6, 22.3, 10.8, 1.8, 1.6, 2.9, 0.0, 68.9, 60.0, 3.4, 
NYK, C , 45.7, 34.0, 43.4, 18.0, 14.0, 4.4, 0.6, 1.7, 0.2, 47.1, 73.3, 2.7, 
NOP, C , 49.5, 42.5, 43.3, 18.8, 12.9, 3.0, 0.8, 2.6, 0.2, 52.8, 71.9, 2.3, 
DEN, C , 44.9, 37.2, 43.0, 18.5, 12.2, 1.7, 1.4, 3.1, 0.0, 56.1, 80.8, 1.7, 
UTA, C , 41.2, 43.1, 42.6, 17.9, 13.5, 2.0, 0.9, 3.1, 0.2, 51.2, 71.4, 2.6, 
POR, C , 47.7, 38.0, 42.1, 17.1, 13.3, 2.6, 2.1, 2.1, 0.0, 47.5, 54.8, 3.3, 
CLE, C , 40.9, 40.2, 41.8, 19.6, 10.9, 3.6, 2.4, 0.5, 0.0, 43.2, 61.5, 2.0, 
OKC, C , 42.7, 42.5, 39.5, 16.3, 14.3, 1.9, 1.5, 1.5, 0.2, 48.3, 55.0, 2.9, 
TOR, C , 45.6, 41.6, 39.4, 13.2, 14.9, 2.3, 1.1, 2.3, 0.6, 38.7, 52.4, 1.9, 
SAS, C , 40.9, 32.8, 37.8, 13.5, 13.1, 3.7, 1.5, 1.3, 0.3, 49.2, 58.3, 2.7, 
