Team, Vs. Pos, Season, Last 5, Last 10, PTS, REB, AST, STL, BLK, 3PM, FG%, FT%, TO
MEM, PF, 42.0, 50.3, 48.1, 22.7, 13.1, 3.1, 1.5, 2.4, 1.2, 54.2, 75.6, 2.6, 
SAC, PF, 43.4, 44.9, 47.5, 22.0, 13.4, 3.4, 0.9, 2.4, 0.9, 50.2, 78.6, 2.4, 
DEN, PF, 44.6, 48.1, 47.1, 22.4, 11.6, 4.1, 1.5, 1.8, 1.1, 47.2, 77.2, 1.8, 
CHI, PF, 41.7, 45.3, 46.9, 25.3, 11.4, 3.3, 1.0, 1.5, 1.5, 49.3, 75.3, 2.1, 
MIL, PF, 43.6, 48.8, 46.9, 23.5, 10.7, 4.5, 0.9, 1.8, 1.9, 49.7, 77.3, 1.7, 
ORL, PF, 42.5, 44.8, 46.7, 22.3, 12.4, 4.0, 1.3, 1.5, 1.1, 54.5, 59.4, 2.2, 
BOS, PF, 43.9, 45.6, 46.2, 20.5, 12.5, 3.6, 1.7, 1.7, 1.8, 47.0, 64.5, 1.5, 
BKN, PF, 42.9, 49.2, 46.1, 24.6, 10.6, 4.2, 1.3, 1.2, 1.7, 56.6, 66.7, 2.5, 
GSW, PF, 41.7, 46.8, 46.0, 23.1, 13.3, 3.1, 1.5, 1.2, 1.3, 48.7, 62.0, 3.1, 
ATL, PF, 41.5, 47.4, 45.9, 22.3, 13.5, 3.4, 1.2, 1.2, 1.3, 47.9, 62.6, 2.6, 
CHA, PF, 41.8, 46.1, 45.4, 20.5, 13.2, 3.7, 1.2, 1.6, 1.5, 47.3, 59.6, 2.1, 
LAC, PF, 40.5, 44.5, 45.1, 20.2, 14.8, 3.6, 1.4, 0.9, 1.0, 43.2, 76.8, 2.8, 
PHI, PF, 44.0, 43.9, 44.4, 20.5, 14.2, 2.7, 1.1, 1.7, 0.8, 54.2, 72.2, 2.9, 
DAL, PF, 40.9, 41.1, 44.4, 20.4, 12.5, 3.5, 1.7, 1.6, 1.4, 50.5, 71.2, 2.8, 
POR, PF, 40.4, 41.4, 44.1, 22.9, 10.8, 3.5, 1.2, 1.4, 1.6, 46.0, 87.7, 2.2, 
PHO, PF, 42.3, 48.9, 43.8, 20.2, 12.4, 2.9, 1.9, 1.7, 1.1, 46.7, 76.7, 2.8, 
NOP, PF, 39.6, 44.8, 43.7, 21.0, 13.2, 2.6, 1.3, 1.4, 1.5, 46.8, 73.8, 2.4, 
LAL, PF, 42.2, 42.7, 43.6, 20.9, 11.9, 3.7, 1.7, 0.9, 1.1, 49.2, 65.6, 2.4, 
TOR, PF, 39.5, 47.6, 43.3, 20.0, 12.4, 3.1, 1.2, 1.8, 1.2, 44.4, 65.8, 2.1, 
HOU, PF, 44.6, 41.2, 43.3, 21.9, 11.5, 3.2, 1.2, 1.6, 1.2, 46.9, 74.1, 2.9, 
WAS, PF, 40.1, 40.5, 42.8, 20.3, 11.5, 4.1, 1.8, 0.9, 1.3, 50.0, 76.3, 2.7, 
DET, PF, 38.5, 47.9, 42.5, 20.8, 10.7, 3.2, 0.9, 1.8, 1.4, 47.8, 77.8, 1.3, 
NYK, PF, 39.2, 42.7, 41.7, 19.9, 10.8, 4.1, 1.6, 0.9, 1.6, 43.4, 76.1, 2.4, 
MIN, PF, 41.0, 36.2, 41.3, 22.5, 8.6, 3.4, 1.4, 1.4, 1.5, 51.7, 63.6, 2.2, 
CLE, PF, 37.9, 43.4, 40.9, 20.3, 10.8, 2.9, 2.1, 0.8, 1.0, 44.0, 71.4, 2.5, 
IND, PF, 38.7, 44.7, 40.5, 19.7, 12.1, 3.0, 1.0, 1.1, 1.4, 46.5, 71.4, 2.5, 
UTA, PF, 36.9, 33.4, 38.8, 18.5, 9.2, 3.0, 1.6, 1.9, 1.1, 48.7, 63.3, 2.3, 
MIA, PF, 39.4, 38.4, 37.6, 18.3, 11.0, 2.7, 1.5, 0.5, 0.6, 51.9, 68.9, 2.1, 
OKC, PF, 39.3, 39.5, 37.5, 19.7, 9.3, 2.5, 1.1, 1.6, 0.7, 46.6, 73.0, 2.4, 
SAS, PF, 36.5, 36.1, 36.9, 16.6, 9.7, 3.9, 1.1, 1.2, 1.2, 44.5, 63.9, 1.8, 
