Team, Vs. Pos, Season, Last 5, Last 10, PTS, REB, AST, STL, BLK, 3PM, FG%, FT%, TO
MIN, PG, 43.3, 47.9, 46.9, 23.1, 5.5, 9.9, 2.4, 0.5, 3.0, 42.3, 79.3, 3.5, 
PHI, PG, 41.9, 39.6, 45.7, 22.4, 7.9, 7.4, 2.3, 0.5, 2.3, 41.4, 84.6, 2.8, 
WAS, PG, 41.5, 46.1, 45.2, 23.5, 5.3, 8.9, 2.5, 0.3, 2.6, 42.5, 81.3, 3.4, 
DEN, PG, 41.8, 50.1, 44.7, 22.0, 6.2, 9.2, 1.7, 0.3, 2.9, 42.3, 77.8, 2.6, 
LAL, PG, 45.1, 44.9, 44.5, 22.7, 5.9, 9.2, 1.8, 0.3, 2.5, 46.2, 77.1, 3.5, 
NOP, PG, 41.7, 39.3, 43.6, 20.3, 5.6, 8.9, 2.6, 0.4, 2.6, 38.3, 81.4, 3.0, 
HOU, PG, 40.7, 42.1, 43.5, 21.7, 5.4, 9.9, 1.6, 0.7, 2.6, 41.4, 78.0, 4.1, 
POR, PG, 41.7, 46.4, 42.9, 24.3, 5.9, 7.3, 1.8, 0.1, 2.2, 48.2, 85.0, 3.3, 
CLE, PG, 40.7, 45.0, 42.2, 21.3, 6.3, 8.4, 1.8, 0.4, 2.0, 42.9, 90.0, 3.5, 
DAL, PG, 40.6, 35.4, 42.2, 21.3, 5.5, 8.6, 2.1, 0.5, 2.5, 39.9, 87.5, 3.7, 
DET, PG, 39.9, 42.8, 41.0, 21.6, 5.2, 8.7, 1.4, 0.3, 2.0, 40.8, 77.5, 3.2, 
SAS, PG, 38.3, 41.2, 41.0, 22.3, 6.0, 6.3, 2.3, 0.4, 2.1, 42.8, 94.4, 3.3, 
MIA, PG, 37.7, 42.0, 40.6, 22.8, 5.9, 6.9, 1.8, 0.1, 2.3, 38.4, 80.6, 3.4, 
BKN, PG, 42.4, 47.5, 40.2, 18.1, 6.1, 8.6, 1.8, 0.4, 2.3, 40.2, 84.6, 2.6, 
LAC, PG, 38.6, 37.4, 40.0, 22.0, 4.7, 7.4, 2.0, 0.5, 2.5, 36.5, 82.1, 3.8, 
SAC, PG, 42.8, 44.5, 39.9, 20.9, 5.0, 8.7, 1.8, 0.4, 2.6, 41.3, 72.5, 4.5, 
ATL, PG, 39.6, 42.7, 39.9, 18.8, 5.3, 8.2, 2.0, 1.0, 2.3, 35.1, 80.8, 3.6, 
CHI, PG, 42.7, 36.0, 39.7, 20.5, 6.1, 7.7, 1.2, 0.4, 1.9, 49.2, 88.1, 3.0, 
NYK, PG, 40.9, 35.0, 39.6, 21.2, 6.6, 6.2, 1.5, 0.3, 2.6, 44.8, 88.1, 2.5, 
OKC, PG, 42.7, 40.5, 39.2, 21.7, 4.8, 6.6, 2.4, 0.2, 3.0, 43.2, 75.9, 3.4, 
PHO, PG, 44.6, 36.5, 39.1, 20.8, 5.8, 6.5, 2.0, 0.5, 1.7, 38.0, 87.0, 3.4, 
GSW, PG, 41.7, 39.4, 39.0, 19.8, 4.6, 7.9, 1.8, 0.5, 2.4, 41.1, 73.9, 2.8, 
BOS, PG, 36.8, 37.5, 38.7, 20.9, 6.0, 6.3, 1.9, 0.7, 2.3, 39.9, 78.9, 4.1, 
TOR, PG, 37.6, 39.3, 37.5, 20.8, 5.8, 6.3, 1.0, 0.6, 2.4, 42.1, 71.7, 3.0, 
MEM, PG, 39.2, 37.1, 37.2, 21.8, 4.8, 6.7, 1.3, 0.3, 2.5, 42.3, 84.1, 3.6, 
CHA, PG, 38.6, 32.7, 36.0, 15.5, 6.3, 8.0, 1.2, 0.9, 1.7, 36.2, 79.3, 3.1, 
IND, PG, 39.0, 32.8, 35.5, 16.7, 6.4, 6.7, 1.7, 0.2, 1.7, 35.2, 79.2, 2.9, 
MIL, PG, 39.0, 34.9, 35.0, 16.9, 4.3, 8.0, 2.6, 0.4, 1.3, 41.4, 89.1, 5.1, 
ORL, PG, 40.5, 27.8, 34.3, 19.2, 4.6, 6.6, 1.8, 0.2, 1.4, 41.5, 71.2, 4.5, 
UTA, PG, 38.5, 32.5, 33.6, 17.0, 5.1, 6.2, 2.3, 0.2, 2.1, 40.3, 81.6, 3.7, 
