Team, Vs. Pos, Season, Last 5, Last 10, PTS, REB, AST, STL, BLK, 3PM, FG%, FT%, TO
BOS, SF, 35.7, 44.7, 43.5, 23.0, 9.5, 4.0, 1.6, 1.1, 2.3, 44.3, 76.5, 2.2, 
DEN, SF, 35.7, 43.0, 43.5, 21.4, 8.7, 4.9, 2.0, 1.0, 2.8, 42.2, 80.4, 1.8, 
PHI, SF, 38.1, 41.9, 42.3, 22.1, 9.7, 5.2, 1.0, 0.9, 2.1, 47.5, 81.3, 3.0, 
PHO, SF, 38.2, 44.9, 42.2, 21.2, 8.9, 4.4, 1.8, 1.1, 2.2, 45.5, 75.0, 2.1, 
BKN, SF, 35.8, 38.4, 41.5, 23.4, 7.2, 4.7, 1.9, 0.5, 2.9, 48.6, 77.6, 2.3, 
DET, SF, 33.4, 42.4, 40.8, 21.4, 8.2, 4.1, 1.4, 0.9, 2.1, 48.9, 82.1, 1.3, 
MIL, SF, 36.7, 43.3, 40.8, 22.2, 7.3, 4.8, 1.5, 1.1, 3.0, 49.3, 80.3, 2.4, 
ORL, SF, 35.3, 46.8, 40.7, 21.7, 8.1, 4.7, 1.6, 0.9, 1.9, 46.8, 84.9, 2.6, 
LAL, SF, 38.4, 40.8, 40.6, 20.9, 7.8, 4.1, 1.9, 1.1, 2.1, 51.6, 62.9, 1.8, 
DAL, SF, 34.3, 36.8, 40.4, 21.7, 8.0, 3.8, 1.8, 1.1, 2.7, 46.7, 80.6, 2.3, 
CHI, SF, 35.9, 39.6, 39.6, 20.5, 8.5, 3.9, 1.5, 1.0, 1.9, 42.3, 86.7, 2.0, 
TOR, SF, 33.8, 40.5, 39.5, 19.5, 7.7, 4.2, 1.9, 1.3, 1.5, 43.7, 75.0, 1.8, 
HOU, SF, 38.9, 40.6, 38.9, 21.3, 6.8, 4.5, 2.0, 0.6, 2.2, 45.5, 84.4, 2.5, 
NOP, SF, 35.5, 44.8, 38.8, 20.4, 7.2, 4.6, 1.6, 1.0, 2.2, 46.0, 80.4, 2.2, 
CLE, SF, 33.3, 38.1, 38.0, 20.1, 8.0, 4.4, 1.5, 0.5, 2.0, 46.5, 66.7, 2.5, 
GSW, SF, 34.0, 37.4, 38.0, 21.5, 7.5, 3.0, 2.1, 0.6, 1.9, 45.0, 79.6, 2.4, 
CHA, SF, 35.4, 42.1, 37.9, 20.8, 8.0, 4.2, 1.1, 0.6, 2.0, 45.5, 87.0, 2.4, 
NYK, SF, 35.0, 41.5, 37.8, 18.9, 8.1, 4.1, 1.8, 0.8, 2.2, 40.3, 74.5, 2.2, 
SAC, SF, 37.1, 42.3, 37.4, 21.1, 7.7, 3.6, 1.5, 0.5, 2.4, 47.9, 83.7, 2.2, 
OKC, SF, 33.4, 36.4, 37.3, 21.3, 7.4, 3.7, 1.3, 0.5, 2.0, 41.7, 78.9, 2.0, 
ATL, SF, 34.1, 39.1, 36.9, 18.6, 9.5, 3.6, 1.4, 0.6, 1.6, 39.1, 76.8, 2.6, 
POR, SF, 34.2, 38.4, 36.7, 18.2, 7.9, 3.6, 1.3, 1.2, 2.4, 44.2, 72.9, 1.5, 
IND, SF, 34.1, 32.8, 36.0, 20.7, 7.6, 3.1, 1.3, 1.0, 1.5, 41.9, 79.8, 3.0, 
LAC, SF, 34.3, 39.6, 36.0, 20.5, 9.5, 2.3, 1.5, 0.4, 1.9, 44.1, 79.3, 3.2, 
MEM, SF, 33.9, 35.8, 35.4, 18.2, 5.8, 3.8, 2.3, 1.5, 1.9, 47.0, 83.3, 3.0, 
SAS, SF, 29.2, 36.0, 35.4, 19.5, 7.0, 4.0, 1.5, 0.6, 2.2, 44.7, 73.5, 2.8, 
WAS, SF, 37.1, 40.8, 35.3, 19.0, 8.9, 3.1, 0.9, 0.9, 1.8, 43.0, 78.4, 2.8, 
MIN, SF, 34.9, 33.7, 35.2, 19.8, 7.2, 3.3, 1.1, 0.9, 2.2, 49.1, 67.3, 2.2, 
UTA, SF, 30.3, 34.2, 34.9, 19.8, 7.3, 3.5, 1.1, 0.7, 1.7, 46.6, 69.0, 2.5, 
MIA, SF, 34.0, 34.2, 34.0, 19.4, 6.8, 3.2, 1.5, 0.4, 1.6, 48.6, 78.4, 2.2, 
