Team, Vs. Pos, Season, Last 5, Last 10, PTS, REB, AST, STL, BLK, 3PM, FG%, FT%, TO
BKN, SG, 38.3, 49.3, 44.3, 22.1, 7.7, 7.4, 1.8, 0.5, 2.9, 50.1, 82.4, 2.7, 
NOP, SG, 37.1, 49.2, 44.3, 25.5, 5.4, 6.2, 1.9, 1.0, 2.7, 50.3, 85.7, 2.8, 
PHI, SG, 35.1, 41.7, 44.0, 22.6, 8.0, 6.0, 2.2, 0.8, 2.1, 45.6, 87.2, 3.1, 
PHO, SG, 37.1, 43.1, 41.5, 23.9, 6.1, 4.5, 1.9, 1.0, 2.7, 46.8, 79.8, 2.4, 
DEN, SG, 37.3, 41.9, 40.3, 21.7, 6.9, 4.7, 2.0, 0.6, 2.8, 44.7, 81.2, 2.0, 
ORL, SG, 32.9, 40.3, 40.1, 21.4, 6.6, 5.4, 2.0, 0.9, 1.8, 45.8, 77.6, 3.0, 
SAC, SG, 37.3, 40.5, 39.8, 23.9, 6.2, 4.7, 1.6, 0.7, 2.6, 45.3, 86.5, 3.2, 
LAL, SG, 39.1, 43.8, 39.8, 21.5, 6.2, 6.0, 1.8, 0.6, 2.7, 43.6, 65.8, 3.0, 
HOU, SG, 35.5, 39.5, 39.0, 22.6, 6.1, 5.0, 1.9, 0.6, 2.7, 43.8, 80.8, 3.4, 
OKC, SG, 36.3, 35.5, 38.9, 22.4, 5.3, 4.8, 2.0, 0.7, 2.9, 42.0, 81.0, 2.6, 
BOS, SG, 34.7, 34.9, 38.4, 21.9, 7.0, 4.5, 1.6, 0.8, 2.7, 46.0, 88.7, 3.4, 
GSW, SG, 35.2, 41.7, 38.3, 21.9, 6.1, 4.1, 2.4, 0.4, 2.1, 44.5, 77.9, 2.6, 
MIL, SG, 35.4, 37.5, 38.2, 19.9, 5.5, 6.3, 2.0, 0.7, 2.3, 46.9, 81.8, 3.1, 
MEM, SG, 34.3, 38.1, 37.1, 20.9, 5.7, 4.7, 1.5, 0.9, 3.3, 44.8, 82.4, 2.6, 
CHI, SG, 33.8, 39.7, 37.1, 19.4, 6.7, 4.7, 1.6, 0.9, 2.2, 40.1, 79.2, 2.3, 
WAS, SG, 34.2, 32.9, 36.7, 21.4, 6.7, 3.8, 1.9, 0.5, 3.0, 39.2, 86.4, 3.2, 
TOR, SG, 34.1, 33.1, 36.7, 19.4, 6.0, 4.5, 1.6, 0.9, 2.5, 42.7, 78.6, 1.6, 
MIN, SG, 34.9, 36.2, 36.5, 21.8, 5.3, 4.9, 1.3, 0.6, 2.8, 45.8, 82.4, 2.9, 
CLE, SG, 34.9, 39.8, 36.1, 18.6, 6.5, 5.2, 1.5, 0.6, 2.5, 41.9, 78.1, 2.2, 
NYK, SG, 35.0, 38.3, 35.7, 20.1, 6.5, 3.6, 1.9, 0.5, 2.1, 43.8, 77.3, 2.3, 
ATL, SG, 34.2, 36.2, 35.4, 19.0, 6.7, 4.3, 1.7, 0.6, 2.4, 38.9, 68.7, 2.6, 
CHA, SG, 36.2, 37.0, 35.2, 20.1, 5.7, 5.1, 1.4, 0.2, 2.4, 42.5, 80.0, 2.5, 
IND, SG, 33.8, 34.5, 35.0, 18.6, 5.8, 4.5, 1.9, 0.8, 1.8, 38.1, 81.6, 2.7, 
DET, SG, 33.3, 35.4, 34.8, 19.3, 6.2, 4.4, 1.3, 0.7, 1.8, 43.0, 74.5, 2.5, 
SAS, SG, 31.7, 36.8, 34.8, 19.4, 6.0, 4.3, 1.8, 0.4, 2.1, 40.4, 88.6, 2.7, 
UTA, SG, 33.7, 39.1, 34.1, 21.0, 5.5, 3.4, 1.3, 0.5, 2.3, 39.6, 81.8, 2.1, 
POR, SG, 34.1, 35.7, 33.8, 21.3, 5.5, 3.3, 1.4, 0.5, 2.3, 42.9, 79.5, 2.9, 
MIA, SG, 32.9, 35.0, 33.5, 20.8, 4.7, 3.9, 1.3, 0.5, 2.1, 45.3, 84.0, 2.5, 
LAC, SG, 31.0, 33.0, 33.4, 18.3, 6.4, 4.6, 1.5, 0.4, 2.1, 35.5, 73.2, 3.4, 
DAL, SG, 34.3, 34.0, 32.7, 19.5, 5.3, 3.9, 1.4, 0.3, 2.1, 40.5, 80.2, 2.6, 
